voltage,relative_factor
4.0,0.036475904698801936
3.975,0.08577342500556903
3.95,0.1404860742424128
3.925,0.20120868194937452
3.9,0.26860141723389513
3.875,0.34339696605234743
3.85,0.42640849688626586
3.825,0.5185385014152378
3.8,0.6207886063011512
3.775,0.7342704627564188
3.75,0.860217832286287
3.725,1.0
3.7,1.1551366613187635
3.675,1.3273144439270952
3.65,1.5184052445922473
3.625,1.730486580207511
3.6,1.9658641743135132
3.575,2.2270970246556
3.55,2.517025224308783
3.525,2.8388008388383423
3.5,3.1959221751889735
3.475,3.5922718148697776
3.45,4.03215882492751
3.425,4.520365605620877
3.4,5.062199884118184
3.375,5.663552419488022
3.35,6.330961046344637
3.325,7.0716817534231975
3.3,7.893767569842885
3.275,8.806156116700055
3.25,9.818766775842192
3.225,10.942608532230205
3.2,12.189899662338693
3.175,13.574200569832477
3.15,15.110561212693252
3.125,16.81568472460736
3.1,18.708109009486495
3.075,20.80840828339664
3.05,23.139416755035064
